No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
16316.0,Février,1.0,9,19.0,51.0,73.0,36.0,85.0,1600.0,12.0,3.0,1017.0,-16.7,0.0,NNW,1.4,Station Pikine
16317.0,Février,1.0,9,20.0,73.0,101.0,44.0,83.0,2000.0,10.0,1.0,1016.0,-16.4,0.0,N,1.2,Station Pikine
16318.0,Février,1.0,9,21.0,77.0,115.0,31.0,74.0,2100.0,10.0,0.0,1015.0,-15.2,0.0,W,0.7,Station Pikine
16319.0,Février,1.0,9,22.0,62.0,98.0,28.0,72.0,1800.0,9.0,-1.0,1015.0,-15.6,0.0,NW,2.2,Station Pikine
16320.0,Février,1.0,9,23.0,98.0,139.0,43.0,72.0,2900.0,11.0,-2.0,1014.0,-16.5,0.0,NE,0.8,Station Pikine
16321.0,Février,1.0,10,0.0,74.0,74.0,29.0,62.0,1900.0,12.0,-2.0,1014.0,-16.2,0.0,NNW,1.5,Station Pikine
16322.0,Février,1.0,10,1.0,65.0,65.0,25.0,54.0,1500.0,15.0,-2.0,1018.0,-15.8,0.0,ENE,1.2,Station Pikine
16323.0,Février,1.0,10,2.0,78.0,89.0,30.0,69.0,2200.0,9.0,-4.0,1014.0,-16.9,0.0,WNW,1.3,Station Pikine
16326.0,Février,1.0,10,5.0,120.0,140.0,37.0,68.0,3400.0,6.0,-4.0,1017.0,-15.0,0.0,SSW,0.9,Station Pikine
16328.0,Février,1.0,10,7.0,110.0,111.0,46.0,76.0,3100.0,6.0,-4.0,1015.0,-14.8,0.0,SE,0.7,Station Pikine
16329.0,Février,1.0,10,8.0,83.0,100.0,39.0,70.0,2700.0,6.0,-4.0,1014.0,-15.3,0.0,NE,0.7,Station Pikine
16332.0,Février,1.0,10,11.0,124.0,178.0,50.0,77.0,3100.0,9.0,7.0,1010.0,-14.5,0.0,SSW,3.0,Station Pikine
16333.0,Février,1.0,10,12.0,69.0,114.0,32.0,41.0,1300.0,38.0,10.0,1012.0,-16.3,0.0,W,6.2,Station Pikine
16334.0,Février,1.0,10,13.0,27.0,62.0,18.0,22.0,600.0,62.0,11.0,1012.0,-16.4,0.0,W,7.1,Station Pikine
16335.0,Février,1.0,10,14.0,28.0,103.0,16.0,25.0,500.0,64.0,11.0,1008.0,-16.4,0.0,WNW,4.6,Station Pikine
16336.0,Février,1.0,10,15.0,27.0,72.0,21.0,30.0,600.0,62.0,12.0,1007.0,-16.6,0.0,W,5.5,Station Pikine
16337.0,Février,1.0,10,16.0,32.0,64.0,19.0,34.0,600.0,58.0,12.0,1008.0,-16.6,0.0,WNW,3.8,Station Pikine
16338.0,Février,1.0,10,17.0,24.0,74.0,18.0,40.0,600.0,53.0,11.0,1008.0,-16.4,0.0,W,2.3,Station Pikine
16339.0,Février,1.0,10,18.0,42.0,94.0,33.0,65.0,1100.0,30.0,9.0,1010.0,-16.3,0.0,W,1.3,Station Pikine
16341.0,Février,1.0,10,20.0,70.0,111.0,40.0,81.0,1900.0,14.0,4.0,1012.0,-17.0,0.0,NNW,1.9,Station Pikine
16342.0,Février,1.0,10,21.0,52.0,75.0,23.0,44.0,1200.0,36.0,7.0,1015.0,-16.5,0.0,NE,1.8,Station Pikine
16343.0,Février,1.0,10,22.0,22.0,54.0,8.0,24.0,600.0,57.0,8.0,1013.0,-17.1,0.0,NNE,3.1,Station Pikine
16344.0,Février,1.0,10,23.0,24.0,37.0,7.0,29.0,500.0,57.0,7.0,1014.0,-17.2,0.0,N,2.0,Station Pikine
16345.0,Février,1.0,11,0.0,15.0,20.0,2.0,19.0,300.0,68.0,6.0,1019.0,-16.6,0.0,N,2.1,Station Pikine
16346.0,Février,1.0,11,1.0,7.0,12.0,2.0,14.0,300.0,67.0,4.0,1015.0,-17.6,0.0,NNW,1.9,Station Pikine
16347.0,Février,1.0,11,2.0,5.0,11.0,2.0,23.0,300.0,58.0,3.0,1016.0,-16.7,0.0,SSW,1.1,Station Pikine
16348.0,Février,1.0,11,3.0,46.0,83.0,24.0,69.0,1500.0,15.0,1.0,1020.0,-14.7,0.0,SSW,1.1,Station Pikine
16349.0,Février,1.0,11,4.0,24.0,47.0,12.0,59.0,800.0,10.0,0.0,1020.0,-13.7,0.0,S,1.5,Station Pikine
16350.0,Février,1.0,11,5.0,23.0,39.0,11.0,53.0,900.0,13.0,-1.0,1022.0,-13.6,0.0,WNW,0.9,Station Pikine
16351.0,Février,1.0,11,6.0,27.0,53.0,21.0,67.0,1700.0,3.0,-2.0,1021.0,-13.5,0.0,WSW,1.5,Station Pikine
16352.0,Février,1.0,11,7.0,27.0,54.0,29.0,68.0,1700.0,3.0,-2.0,1022.0,-14.5,0.0,NNW,1.5,Station Pikine
16353.0,Février,1.0,11,8.0,28.0,49.0,31.0,67.0,1500.0,5.0,-2.0,1026.0,-13.5,0.0,NNW,1.1,Station Pikine
16354.0,Février,1.0,11,9.0,51.0,74.0,46.0,67.0,2000.0,6.0,-1.0,1023.0,-15.3,0.0,SSW,1.2,Station Pikine
16355.0,Février,1.0,11,10.0,50.0,77.0,47.0,63.0,1300.0,11.0,2.0,1026.0,-15.5,0.0,SSW,1.2,Station Pikine
16356.0,Février,1.0,11,11.0,23.0,27.0,23.0,34.0,700.0,34.0,3.0,1025.0,-15.7,0.0,WSW,1.6,Station Pikine
16357.0,Février,1.0,11,12.0,28.0,32.0,28.0,39.0,700.0,35.0,3.0,1022.0,-16.2,0.0,S,2.1,Station Pikine
16358.0,Février,1.0,11,13.0,25.0,28.0,19.0,29.0,600.0,49.0,4.0,1023.0,-16.4,0.0,E,1.2,Station Pikine
16359.0,Février,1.0,11,14.0,27.0,28.0,17.0,32.0,600.0,47.0,5.0,1023.0,-16.2,0.0,S,0.8,Station Pikine
16360.0,Février,1.0,11,15.0,32.0,35.0,15.0,43.0,700.0,39.0,5.0,1025.0,-16.2,0.0,E,1.2,Station Pikine
16361.0,Février,1.0,11,16.0,24.0,40.0,12.0,56.0,800.0,31.0,5.0,1026.0,-16.2,0.0,SE,2.5,Station Pikine
16362.0,Février,1.0,11,17.0,33.0,47.0,17.0,52.0,800.0,40.0,4.0,1022.0,-15.9,0.0,ESE,1.2,Station Pikine
16363.0,Février,1.0,11,18.0,42.0,63.0,21.0,68.0,900.0,20.0,3.0,1022.0,-15.2,0.0,ESE,0.4,Station Pikine
16364.0,Février,1.0,11,19.0,53.0,77.0,35.0,82.0,1200.0,6.0,1.0,1026.0,-15.1,0.0,NNE,0.5,Station Pikine
16365.0,Février,1.0,11,20.0,70.0,94.0,34.0,82.0,1800.0,6.0,1.0,1025.0,-13.5,0.0,ENE,1.1,Station Pikine
16366.0,Février,1.0,11,21.0,67.0,82.0,27.0,75.0,1700.0,7.0,0.0,1025.0,-13.3,0.0,NE,0.8,Station Pikine
16367.0,Février,1.0,11,22.0,67.0,80.0,25.0,73.0,1600.0,5.0,-1.0,1024.0,-13.6,0.0,ENE,0.6,Station Pikine
16368.0,Février,1.0,11,23.0,79.0,107.0,28.0,75.0,1700.0,5.0,-1.0,1026.0,-11.7,0.0,ENE,0.6,Station Pikine
16369.0,Février,1.0,12,0.0,103.0,126.0,33.0,79.0,2200.0,6.0,-2.0,1027.0,-11.1,0.0,SSE,1.1,Station Pikine
16370.0,Février,1.0,12,1.0,113.0,126.0,36.0,74.0,2300.0,6.0,0.0,1024.0,-10.3,0.0,E,1.8,Station Pikine
16371.0,Février,1.0,12,2.0,121.0,164.0,48.0,80.0,2700.0,4.0,-1.0,1028.0,-10.1,0.0,E,0.7,Station Pikine
16374.0,Février,1.0,12,5.0,134.0,166.0,31.0,71.0,3400.0,4.0,-6.0,1028.0,-12.1,0.0,NW,1.5,Station Pikine
16375.0,Février,1.0,12,6.0,100.0,118.0,27.0,70.0,2300.0,3.0,-6.0,1028.0,-11.5,0.0,NNW,1.6,Station Pikine
16376.0,Février,1.0,12,7.0,100.0,118.0,26.0,70.0,2500.0,2.0,-6.0,1031.0,-11.3,0.0,NNE,0.5,Station Pikine
16377.0,Février,1.0,12,8.0,112.0,126.0,28.0,72.0,2700.0,4.0,-6.0,1027.0,-11.1,0.0,NW,0.9,Station Pikine
16378.0,Février,1.0,12,9.0,88.0,104.0,37.0,66.0,2200.0,3.0,-5.0,1029.0,-10.8,0.0,NW,1.4,Station Pikine
16379.0,Février,1.0,12,10.0,92.0,110.0,48.0,63.0,2200.0,5.0,-2.0,1028.0,-9.0,0.0,ESE,2.3,Station Pikine
16385.0,Février,1.0,12,16.0,171.0,189.0,50.0,100.0,2300.0,9.0,1.4,1025.8,-8.4,0.0,ENE,0.9,Station Pikine
16386.0,Février,1.0,12,17.0,194.0,194.0,46.0,105.0,2200.0,6.0,0.4,1025.8,-8.6,0.0,NNW,0.9,Station Pikine
16387.0,Février,1.0,12,18.0,195.0,228.0,45.0,116.0,3100.0,3.0,-1.2,1026.0,-8.6,0.0,WNW,0.9,Station Pikine
16390.0,Février,1.0,12,21.0,178.0,178.0,43.0,100.0,2600.0,2.0,-3.5,1026.1,-10.2,0.0,NW,1.1,Station Pikine
16394.0,Février,1.0,13,1.0,168.0,168.0,47.0,92.0,2500.0,3.0,-4.5,1025.0,-10.9,0.0,NW,1.1,Station Pikine
16398.0,Février,1.0,13,5.0,118.0,118.0,38.0,74.0,2100.0,4.0,-4.5,1023.4,-11.5,0.0,N,0.4,Station Pikine
16399.0,Février,1.0,13,6.0,108.0,108.0,41.0,74.0,2100.0,5.0,-4.9,1023.4,-11.5,0.0,N,0.9,Station Pikine
16400.0,Février,1.0,13,7.0,106.0,106.0,35.0,75.0,2200.0,5.0,-5.7,1023.8,-11.4,0.0,NNW,2.0,Station Pikine
16401.0,Février,1.0,13,8.0,111.0,120.0,36.0,79.0,2500.0,6.0,-5.2,1024.1,-11.2,0.0,N,1.1,Station Pikine
16402.0,Février,1.0,13,9.0,107.0,110.0,34.0,68.0,2100.0,9.0,-4.5,1024.4,-11.1,0.0,NNW,1.1,Station Pikine
16403.0,Février,1.0,13,10.0,109.0,110.0,40.0,65.0,2000.0,8.0,-2.4,1024.4,-10.9,0.0,W,0.9,Station Pikine
16412.0,Février,1.0,13,19.0,148.0,161.0,47.0,102.0,2300.0,8.0,-1.2,1021.7,-8.6,0.0,NNE,0.8,Station Pikine
16414.0,Février,1.0,13,21.0,142.0,142.0,50.0,86.0,2000.0,10.0,-2.5,1022.0,-9.6,0.0,N,1.7,Station Pikine
16415.0,Février,1.0,13,22.0,127.0,127.0,44.0,82.0,1900.0,9.0,-2.6,1022.3,-9.5,0.0,N,1.5,Station Pikine
16416.0,Février,1.0,13,23.0,134.0,134.0,43.0,76.0,1900.0,10.0,-3.7,1022.2,-9.9,0.0,NNW,1.5,Station Pikine
16417.0,Février,1.0,14,0.0,132.0,132.0,39.0,75.0,1800.0,10.0,-4.0,1021.9,-9.8,0.0,N,1.4,Station Pikine
16418.0,Février,1.0,14,1.0,134.0,134.0,37.0,75.0,1800.0,9.0,-4.5,1021.8,-10.1,0.0,NW,1.3,Station Pikine
16419.0,Février,1.0,14,2.0,135.0,135.0,37.0,79.0,1800.0,6.0,-4.6,1022.2,-10.2,0.0,NNW,1.6,Station Pikine
16420.0,Février,1.0,14,3.0,135.0,138.0,34.0,81.0,1800.0,4.0,-4.7,1021.8,-9.9,0.0,NNW,1.1,Station Pikine
16421.0,Février,1.0,14,4.0,140.0,140.0,30.0,81.0,1900.0,6.0,-4.8,1021.4,-9.8,0.0,NW,1.2,Station Pikine
16422.0,Février,1.0,14,5.0,146.0,146.0,32.0,85.0,2100.0,4.0,-4.8,1021.0,-9.6,0.0,N,0.6,Station Pikine
16423.0,Février,1.0,14,6.0,156.0,156.0,40.0,89.0,2100.0,5.0,-4.4,1021.4,-9.4,0.0,NW,1.6,Station Pikine
16424.0,Février,1.0,14,7.0,175.0,180.0,44.0,92.0,2800.0,6.0,-3.9,1021.6,-8.9,0.0,NE,0.6,Station Pikine
16425.0,Février,1.0,14,8.0,176.0,178.0,39.0,96.0,2600.0,6.0,-3.2,1021.7,-8.7,0.0,NNW,1.0,Station Pikine
16456.0,Février,1.0,15,15.0,257.0,257.0,49.0,83.0,2600.0,10.0,1.0,1017.0,-7.5,0.0,ESE,1.2,Station Pikine
16457.0,Février,1.0,15,16.0,280.0,280.0,42.0,93.0,2800.0,10.0,1.0,1016.0,-7.3,0.0,E,1.7,Station Pikine
16468.0,Février,1.0,16,3.0,170.0,170.0,22.0,60.0,1700.0,19.0,1.0,1016.0,-14.3,0.0,W,5.5,Station Pikine
16469.0,Février,1.0,16,4.0,12.0,20.0,6.0,14.0,400.0,52.0,1.0,1017.0,-14.3,0.0,WNW,5.7,Station Pikine
16470.0,Février,1.0,16,5.0,4.0,13.0,4.0,12.0,300.0,59.0,1.0,1013.0,-14.3,0.0,WNW,5.6,Station Pikine
16471.0,Février,1.0,16,6.0,15.0,15.0,6.0,12.0,300.0,60.0,1.0,1017.0,-14.3,0.0,WNW,6.6,Station Pikine
16472.0,Février,1.0,16,7.0,8.0,8.0,8.0,21.0,400.0,49.0,0.0,1015.0,-14.8,0.0,WNW,5.1,Station Pikine
16473.0,Février,1.0,16,8.0,13.0,13.0,10.0,32.0,500.0,38.0,-1.0,1020.0,-15.3,0.0,NW,2.3,Station Pikine
16474.0,Février,1.0,16,9.0,16.0,16.0,6.0,23.0,600.0,48.0,0.0,1020.0,-16.0,0.0,NW,4.2,Station Pikine
16475.0,Février,1.0,16,10.0,18.0,39.0,2.0,18.0,400.0,53.0,0.0,1022.0,-16.8,0.0,WNW,6.1,Station Pikine
16476.0,Février,1.0,16,11.0,13.0,86.0,7.0,17.0,400.0,53.0,0.0,1023.0,-17.7,0.0,WNW,6.5,Station Pikine
16477.0,Février,1.0,16,12.0,17.0,89.0,10.0,17.0,400.0,53.0,1.0,1023.0,-17.4,0.0,WNW,5.9,Station Pikine
16478.0,Février,1.0,16,13.0,14.0,75.0,9.0,17.0,400.0,58.0,1.0,1019.0,-17.9,0.0,WNW,5.7,Station Pikine
16479.0,Février,1.0,16,14.0,6.0,57.0,8.0,19.0,400.0,57.0,2.0,1018.0,-17.0,0.0,WNW,6.5,Station Pikine
16480.0,Février,1.0,16,15.0,6.0,38.0,3.0,17.0,400.0,62.0,2.0,1019.0,-17.5,0.0,W,5.2,Station Pikine
16481.0,Février,1.0,16,16.0,12.0,23.0,3.0,21.0,400.0,60.0,2.0,1020.0,-17.0,0.0,WNW,5.3,Station Pikine
16482.0,Février,1.0,16,17.0,13.0,14.0,2.0,28.0,400.0,55.0,1.0,1025.0,-16.9,0.0,WNW,4.6,Station Pikine
16483.0,Février,1.0,16,18.0,15.0,17.0,2.0,42.0,600.0,42.0,0.0,1021.0,-16.8,0.0,WNW,3.4,Station Pikine
16484.0,Février,1.0,16,19.0,17.0,19.0,4.0,49.0,700.0,36.0,-1.0,1025.0,-16.8,0.0,NW,2.2,Station Pikine
16485.0,Février,1.0,16,20.0,21.0,21.0,5.0,42.0,700.0,42.0,-1.0,1024.0,-16.8,0.0,NNW,2.6,Station Pikine
16486.0,Février,1.0,16,21.0,12.0,12.0,2.0,17.0,400.0,66.0,-1.0,1028.0,-16.8,0.0,NNW,4.3,Station Pikine
16487.0,Février,1.0,16,22.0,6.0,6.0,2.0,18.0,400.0,64.0,-2.0,1026.0,-16.5,0.0,WSW,0.8,Station Pikine
16488.0,Février,1.0,16,23.0,14.0,14.0,4.0,29.0,400.0,49.0,-4.0,1028.0,-17.6,0.0,NNW,2.0,Station Pikine
16489.0,Février,1.0,17,0.0,18.0,18.0,7.0,30.0,500.0,42.0,-4.0,1024.0,-17.6,0.0,N,1.3,Station Pikine
16490.0,Février,1.0,17,1.0,22.0,22.0,14.0,35.0,600.0,35.0,-5.0,1024.0,-18.1,0.0,NNW,1.9,Station Pikine
16491.0,Février,1.0,17,2.0,28.0,28.0,26.0,33.0,600.0,34.0,-5.0,1025.0,-18.5,0.0,NNW,2.8,Station Pikine
16492.0,Février,1.0,17,3.0,21.0,21.0,35.0,31.0,500.0,37.0,-4.0,1028.0,-17.9,0.0,N,2.5,Station Pikine
16493.0,Février,1.0,17,4.0,16.0,16.0,31.0,25.0,500.0,36.0,-4.0,1025.0,-17.9,0.0,NNE,1.4,Station Pikine
16494.0,Février,1.0,17,5.0,13.0,13.0,32.0,39.0,500.0,30.0,-4.0,1023.0,-17.2,0.0,W,1.4,Station Pikine
16495.0,Février,1.0,17,6.0,26.0,26.0,37.0,54.0,1200.0,16.0,-7.0,1022.0,-17.8,0.0,SSW,1.2,Station Pikine
16496.0,Février,1.0,17,7.0,38.0,40.0,41.0,59.0,1600.0,13.0,-8.0,1025.0,-17.9,0.0,NW,1.4,Station Pikine
16502.0,Février,1.0,17,13.0,45.0,45.0,45.0,46.0,900.0,39.0,2.0,1019.0,-15.5,0.0,E,1.7,Station Pikine
16503.0,Février,1.0,17,14.0,49.0,49.0,42.0,55.0,1000.0,36.0,2.0,1022.0,-16.0,0.0,S,1.3,Station Pikine
16504.0,Février,1.0,17,15.0,42.0,45.0,37.0,64.0,1000.0,32.0,2.0,1023.0,-15.5,0.0,W,1.1,Station Pikine
16505.0,Février,1.0,17,16.0,61.0,62.0,39.0,80.0,1300.0,22.0,2.0,1022.0,-15.5,0.0,W,0.5,Station Pikine
16509.0,Février,1.0,17,20.0,86.0,86.0,43.0,88.0,1900.0,7.0,-1.0,1016.0,-14.9,0.0,WNW,1.8,Station Pikine
16510.0,Février,1.0,17,21.0,72.0,72.0,43.0,88.0,1700.0,7.0,-1.0,1018.0,-14.6,0.0,NNW,1.3,Station Pikine
16519.0,Février,1.0,18,6.0,122.0,128.0,49.0,78.0,2800.0,6.0,-2.0,1007.0,-12.9,0.0,NW,0.8,Station Pikine
16520.0,Février,1.0,18,7.0,122.0,128.0,49.0,78.0,2800.0,6.0,-2.0,1009.0,-13.2,0.0,N,1.6,Station Pikine
16525.0,Février,1.0,18,12.0,60.0,122.0,27.0,26.0,800.0,42.0,5.0,1009.0,-11.6,0.0,NW,6.4,Station Pikine
16526.0,Février,1.0,18,13.0,26.0,128.0,17.0,15.0,500.0,61.0,5.0,1006.0,-14.5,0.0,WNW,6.1,Station Pikine
16527.0,Février,1.0,18,14.0,18.0,106.0,11.0,16.0,300.0,71.0,5.0,1005.0,-15.0,0.0,WNW,5.5,Station Pikine
16528.0,Février,1.0,18,15.0,12.0,68.0,8.0,16.0,300.0,72.0,4.0,1007.0,-15.9,0.0,WNW,8.2,Station Pikine
16529.0,Février,1.0,18,16.0,8.0,116.0,5.0,14.0,200.0,73.0,4.0,1010.0,-14.8,0.0,WNW,8.0,Station Pikine
16530.0,Février,1.0,18,17.0,7.0,111.0,5.0,14.0,300.0,71.0,3.0,1008.0,-16.2,0.0,NW,4.6,Station Pikine
16531.0,Février,1.0,18,18.0,13.0,96.0,6.0,20.0,400.0,65.0,3.0,1009.0,-15.7,0.0,WNW,7.5,Station Pikine
16532.0,Février,1.0,18,19.0,13.0,101.0,4.0,14.0,300.0,69.0,3.0,1010.0,-16.7,0.0,WNW,6.1,Station Pikine
16533.0,Février,1.0,18,20.0,10.0,72.0,4.0,13.0,300.0,70.0,2.0,1010.0,-16.5,0.0,WNW,4.3,Station Pikine
16534.0,Février,1.0,18,21.0,5.0,64.0,4.0,11.0,300.0,72.0,2.0,1011.0,-15.5,0.0,NNW,4.9,Station Pikine
16535.0,Février,1.0,18,22.0,13.0,48.0,5.0,12.0,300.0,70.0,3.0,1015.0,-15.2,0.0,NW,3.5,Station Pikine
16536.0,Février,1.0,18,23.0,15.0,41.0,4.0,11.0,300.0,70.0,2.0,1012.0,-15.5,0.0,WNW,4.5,Station Pikine
16537.0,Février,1.0,19,0.0,14.0,40.0,4.0,16.0,400.0,62.0,2.0,1016.0,-15.5,0.0,NW,4.0,Station Pikine
16538.0,Février,1.0,19,1.0,8.0,35.0,4.0,15.0,300.0,60.0,3.0,1016.0,-15.7,0.0,NW,4.0,Station Pikine
16539.0,Février,1.0,19,2.0,10.0,31.0,4.0,15.0,400.0,58.0,1.0,1015.0,-15.5,0.0,N,1.3,Station Pikine
16540.0,Février,1.0,19,3.0,14.0,45.0,12.0,19.0,600.0,50.0,-1.0,1017.0,-14.9,0.0,NE,1.0,Station Pikine
16541.0,Février,1.0,19,4.0,18.0,53.0,16.0,38.0,1200.0,18.0,-2.0,1018.0,-15.8,0.0,NW,1.5,Station Pikine
16542.0,Février,1.0,19,5.0,24.0,39.0,14.0,39.0,1100.0,26.0,-1.0,1015.0,-15.3,0.0,NNE,1.5,Station Pikine
16543.0,Février,1.0,19,6.0,12.0,20.0,10.0,19.0,500.0,48.0,-2.0,1019.0,-15.5,0.0,NE,1.1,Station Pikine
16544.0,Février,1.0,19,7.0,15.0,36.0,14.0,33.0,1000.0,32.0,-2.0,1018.0,-14.8,0.0,ENE,1.7,Station Pikine
16545.0,Février,1.0,19,8.0,26.0,59.0,24.0,63.0,1500.0,8.0,-5.0,1015.0,-16.0,0.0,W,1.0,Station Pikine
16549.0,Février,1.0,19,12.0,50.0,66.0,50.0,56.0,1100.0,31.0,3.0,1014.0,-16.2,0.0,SSW,1.7,Station Pikine
16550.0,Février,1.0,19,13.0,30.0,42.0,19.0,33.0,700.0,50.0,3.0,1016.0,-16.2,0.0,SE,1.7,Station Pikine
16551.0,Février,1.0,19,14.0,37.0,61.0,25.0,53.0,1000.0,39.0,5.0,1013.0,-15.0,0.0,SSE,1.0,Station Pikine
16552.0,Février,1.0,19,15.0,40.0,78.0,25.0,63.0,1200.0,31.0,5.0,1013.0,-15.0,0.0,E,1.0,Station Pikine
16553.0,Février,1.0,19,16.0,50.0,89.0,32.0,56.0,1500.0,42.0,5.0,1012.0,-15.0,0.0,SE,2.8,Station Pikine
16554.0,Février,1.0,19,17.0,43.0,86.0,24.0,51.0,1200.0,48.0,4.0,1013.0,-15.3,0.0,SSE,1.1,Station Pikine
16555.0,Février,1.0,19,18.0,53.0,105.0,30.0,82.0,1500.0,23.0,3.0,1014.0,-13.8,0.0,ENE,1.1,Station Pikine
16557.0,Février,1.0,19,20.0,100.0,140.0,48.0,100.0,2200.0,8.0,1.0,1013.0,-13.9,0.0,ENE,0.5,Station Pikine
16558.0,Février,1.0,19,21.0,87.0,132.0,45.0,93.0,1800.0,6.0,2.0,1017.0,-13.4,0.0,E,1.8,Station Pikine
16559.0,Février,1.0,19,22.0,76.0,125.0,49.0,88.0,1600.0,4.0,1.0,1018.0,-12.1,0.0,E,1.6,Station Pikine
16560.0,Février,1.0,19,23.0,75.0,116.0,47.0,84.0,1700.0,4.0,0.0,1017.0,-11.7,0.0,ENE,0.9,Station Pikine
16561.0,Février,1.0,20,0.0,71.0,105.0,49.0,82.0,1600.0,5.0,-2.0,1015.0,-13.2,0.0,N,1.2,Station Pikine
16562.0,Février,1.0,20,1.0,40.0,62.0,,,700.0,,-4.0,1018.0,-14.2,0.0,NW,1.1,Station Pikine
16563.0,Février,1.0,20,2.0,62.0,100.0,36.0,72.0,1600.0,6.0,-5.0,1014.0,-13.8,0.0,NNW,0.9,Station Pikine
16564.0,Février,1.0,20,3.0,72.0,96.0,38.0,77.0,2100.0,5.0,-5.0,1014.0,-13.8,0.0,NNW,1.3,Station Pikine
16565.0,Février,1.0,20,4.0,71.0,91.0,41.0,76.0,2000.0,6.0,-5.0,1017.0,-13.4,0.0,NW,1.4,Station Pikine
16566.0,Février,1.0,20,5.0,67.0,81.0,39.0,73.0,1900.0,3.0,-6.0,1012.0,-13.6,0.0,NW,1.4,Station Pikine
16568.0,Février,1.0,20,7.0,66.0,93.0,32.0,65.0,2200.0,2.0,-6.0,1015.0,-12.1,0.0,NNW,1.4,Station Pikine
16569.0,Février,1.0,20,8.0,57.0,87.0,34.0,64.0,2200.0,4.0,-6.0,1015.0,-11.9,0.0,NW,1.1,Station Pikine
16570.0,Février,1.0,20,9.0,81.0,108.0,38.0,62.0,2200.0,4.0,-4.0,1011.0,-10.4,0.0,NW,1.3,Station Pikine
16571.0,Février,1.0,20,10.0,82.0,105.0,47.0,60.0,2100.0,8.0,0.0,1014.0,-10.0,0.0,N,0.7,Station Pikine
16573.0,Février,1.0,20,12.0,84.0,106.0,48.0,62.0,1800.0,18.0,3.0,1012.0,-11.0,0.0,NW,1.9,Station Pikine
16574.0,Février,1.0,20,13.0,82.0,99.0,46.0,61.0,1600.0,24.0,4.0,1012.0,-12.9,0.0,ENE,1.2,Station Pikine
16576.0,Février,1.0,20,15.0,88.0,118.0,49.0,62.0,1500.0,29.0,5.0,1013.0,-12.5,0.0,SW,0.9,Station Pikine
16583.0,Février,1.0,20,22.0,81.0,101.0,47.0,76.0,2100.0,8.0,2.0,1015.0,-10.9,0.0,NW,1.5,Station Pikine
16584.0,Février,1.0,20,23.0,26.0,36.0,16.0,28.0,800.0,39.0,3.0,1017.0,-12.1,0.0,N,2.5,Station Pikine
16585.0,Février,1.0,21,0.0,11.0,15.0,7.0,11.0,500.0,61.0,3.0,1014.0,-12.1,0.0,NW,2.0,Station Pikine
16586.0,Février,1.0,21,1.0,14.0,20.0,7.0,22.0,500.0,53.0,2.0,1017.0,-12.3,0.0,WNW,2.4,Station Pikine
16587.0,Février,1.0,21,2.0,12.0,26.0,12.0,36.0,500.0,35.0,1.0,1019.0,-12.1,0.0,N,1.4,Station Pikine
16588.0,Février,1.0,21,3.0,11.0,24.0,17.0,33.0,600.0,38.0,1.0,1019.0,-11.8,0.0,NW,2.1,Station Pikine
16589.0,Février,1.0,21,4.0,12.0,20.0,20.0,23.0,600.0,38.0,0.0,1016.0,-12.0,0.0,ENE,0.8,Station Pikine
16590.0,Février,1.0,21,5.0,8.0,22.0,17.0,17.0,500.0,48.0,0.0,1016.0,-12.3,0.0,NNW,2.4,Station Pikine
16591.0,Février,1.0,21,6.0,16.0,26.0,23.0,18.0,500.0,50.0,0.0,1018.0,-12.3,0.0,NNW,1.7,Station Pikine
16592.0,Février,1.0,21,7.0,15.0,19.0,19.0,21.0,500.0,49.0,-2.0,1022.0,-12.7,0.0,ENE,0.5,Station Pikine
16593.0,Février,1.0,21,8.0,13.0,23.0,17.0,39.0,700.0,33.0,-2.0,1022.0,-12.7,0.0,NW,1.5,Station Pikine
16594.0,Février,1.0,21,9.0,20.0,24.0,15.0,35.0,700.0,35.0,0.0,1020.0,-13.3,0.0,WSW,0.9,Station Pikine
16595.0,Février,1.0,21,10.0,16.0,20.0,16.0,25.0,600.0,42.0,2.0,1020.0,-14.2,0.0,NW,3.2,Station Pikine
16596.0,Février,1.0,21,11.0,16.0,20.0,22.0,23.0,500.0,47.0,3.0,1023.0,-14.7,0.0,WNW,3.2,Station Pikine
16597.0,Février,1.0,21,12.0,9.0,12.0,22.0,17.0,500.0,57.0,3.0,1022.0,-15.7,0.0,NW,3.6,Station Pikine
16598.0,Février,1.0,21,13.0,16.0,16.0,10.0,13.0,400.0,63.0,4.0,1017.0,-17.6,0.0,N,2.7,Station Pikine
16599.0,Février,1.0,21,14.0,12.0,12.0,9.0,12.0,400.0,65.0,5.0,1016.0,-17.4,0.0,N,2.8,Station Pikine
16600.0,Février,1.0,21,15.0,10.0,13.0,10.0,14.0,400.0,64.0,5.0,1018.0,-16.2,0.0,NW,4.1,Station Pikine
16601.0,Février,1.0,21,16.0,16.0,20.0,8.0,21.0,400.0,58.0,5.0,1016.0,-16.2,0.0,WNW,2.3,Station Pikine
16602.0,Février,1.0,21,17.0,14.0,16.0,7.0,25.0,400.0,58.0,4.0,1018.0,-15.9,0.0,NW,2.6,Station Pikine
16603.0,Février,1.0,21,18.0,24.0,32.0,40.0,44.0,800.0,41.0,3.0,1016.0,-14.7,0.0,WNW,1.1,Station Pikine
